"Name","Team","Rank","Andy","Jason","Mike"
"Josh Allen","BUF","1","1","1","3"
"Lamar Jackson","BAL","2","4","2","2"
"Joe Burrow","CIN","3","5","3","1"
"Jayden Daniels","WAS","4","6","4","4"
"Jalen Hurts","PHI","5","3","6","7"
"Drake Maye","NE","6","2","11","5"
"Dak Prescott","DAL","7","12","5","6"
"Trevor Lawrence","JAX","8","7","12","9"
"Jaxson Dart","NYG","9","11","8","13"
"Caleb Williams","CHI","10","10","7","16"
"Jared Goff","DET","11","15","9","11"
"Justin Herbert","LAC","12","9","10","20"
"Brock Purdy","SF","13","16","16","8"
"Matthew Stafford","LAR","14","14","18","10"
"Bo Nix","DEN","15","8","19","15"
"Baker Mayfield","TB","16","17","14","14"
"Jordan Love","GB","17","13","17","21"
"Patrick Mahomes","KC","18","20","15","18"
"Tyler Shough","NO","19","19","23","12"
"Kyler Murray","MIN","20","23","13","19"
"Cameron Ward","TEN","21","24","20","25"
"C.J. Stroud","HOU","22","25","21","23"
"Malik Willis","MIA","23","18","30","22"
"Sam Darnold","SEA","24","27","26","17"
"Daniel Jones","IND","25","28","22","24"
"Jacoby Brissett","ARI","26","22","28","26"
"Will Howard","PIT","27","21","24","35"
"Bryce Young","CAR","28","26","25","29"
"Geno Smith","NYJ","29","29","27","30"
"Shedeur Sanders","CLE","30","33","29","28"
"Michael Penix Jr.","ATL","31","30","31","31"
"Fernando Mendoza","LV","32","31","33","32"
"Kirk Cousins","LV","33","32","32","33"
"Aaron Rodgers","","34","36","37","27"
"Tua Tagovailoa","ATL","35","35","34","34"
"Deshaun Watson","CLE","36","34","36","37"
"Carson Beck","ARI","37","37","35","36"
"J.J. McCarthy","MIN","38","38","38","38"
