"Name","Team","Rank","Andy","Jason","Mike"
"Brock Bowers","LV","1","2","1","1"
"Trey McBride","ARI","2","1","2","2"
"Colston Loveland","CHI","3","3","4","3"
"Tyler Warren","IND","4","4","3","4"
"Harold Fannin Jr.","CLE","5","7","5","6"
"Sam LaPorta","DET","6","11","8","5"
"Kyle Pitts Sr.","ATL","7","6","9","10"
"Tucker Kraft","GB","8","5","15","8"
"Jake Ferguson","DAL","9","8","6","17"
"Travis Kelce","KC","10","12","13","7"
"Hunter Henry","NE","11","9","14","11"
"Brenton Strange","JAX","12","13","11","13"
"George Kittle","SF","13","21","10","9"
"Mark Andrews","BAL","14","20","7","14"
"Chig Okonkwo","WAS","15","15","16","18"
"Dallas Goedert","PHI","16","16","17","16"
"Dalton Schultz","HOU","17","10","21","19"
"Dalton Kincaid","BUF","18","17","18","15"
"Oronde Gadsden","LAC","19","18","12","32"
"Kenyon Sadiq","NYJ","20","31","22","12"
"Isaiah Likely","NYG","21","23","19","24"
"Juwan Johnson","NO","22","14","31","22"
"T.J. Hockenson","MIN","23","28","20","20"
"Pat Freiermuth","PIT","24","26","24","21"
"Cade Otton","TB","25","25","26","23"
"AJ Barner","SEA","26","19","33","26"
"Greg Dulcich","MIA","27","24","36","25"
"Colby Parkinson","LAR","28","22","27","37"
"David Njoku","LAC","29","34","28","27"
"Mike Gesicki","CIN","30","38","23","30"
"Cole Kmet","CHI","31","36","29","29"
"Gunnar Helm","TEN","32","27","25","43"
"Evan Engram","DEN","33","32","32","33"
"Dawson Knox","BUF","34","37","34","35"
"Mason Taylor","NYJ","35","35","41","36"
"Luke Musgrave","GB","36","49","37","28"
"Ja'Tavion Sanders","CAR","37","40","35","39"
"Eli Stowers","PHI","38","30","39","46"
"Theo Johnson","NYG","39","33","45","38"
"Terrance Ferguson","LAR","40","48","30","40"
"Elijah Arroyo","SEA","41","29","49","45"
"Michael Mayer","LV","42","39","54","31"
"Noah Gray","KC","43","43","48","34"
"Darnell Washington","PIT","44","42","42","44"
"Max Klare","LAR","45","46","44","42"
"Tommy Tremble","CAR","46","45","47","41"
"Ben Sinnott","WAS","47","41","43","50"
"Noah Fant","NO","48","44","40","52"
"Justin Joly","DEN","49","51","38","49"
"Adam Trautman","DEN","50","47","46","47"
"Brock Wright","DET","51","50","51","48"
"Marlin Klein","HOU","52","52","50","53"
"Nate Boerkircher","JAX","53","53","53","51"
"Oscar Delp","NO","54","54","52","54"
