"Name","Team","Rank","Andy","Jason","Mike"
"Puka Nacua","LAR","1","1","2","2"
"Ja'Marr Chase","CIN","2","3","1","1"
"Jaxon Smith-Njigba","SEA","3","2","4","3"
"Amon-Ra St. Brown","DET","4","4","5","4"
"CeeDee Lamb","DAL","5","6","3","5"
"Rashee Rice","KC","6","5","6","7"
"Justin Jefferson","MIN","7","7","7","6"
"Drake London","ATL","8","8","8","8"
"Malik Nabers","NYG","9","11","11","11"
"Nico Collins","HOU","10","15","12","9"
"George Pickens","DAL","11","9","16","12"
"A.J. Brown","PHI","12","17","9","13"
"Tetairoa McMillan","CAR","13","10","15","15"
"Chris Olave","NO","14","13","20","10"
"Garrett Wilson","NYJ","15","14","13","19"
"Emeka Egbuka","TB","16","16","14","17"
"Tee Higgins","CIN","17","18","19","16"
"DeVonta Smith","PHI","18","20","17","24"
"Jameson Williams","DET","19","12","30","20"
"Zay Flowers","BAL","20","25","18","23"
"Mike Evans","SF","21","35","10","21"
"Christian Watson","GB","22","21","32","14"
"Terry McLaurin","WAS","23","22","23","26"
"Brian Thomas Jr.","JAX","24","23","22","29"
"Jaylen Waddle","DEN","25","29","21","25"
"Luther Burden III","CHI","26","28","31","22"
"Carnell Tate","TEN","27","27","28","27"
"Davante Adams","LAR","28","42","27","18"
"Rome Odunze","CHI","29","26","24","39"
"Alec Pierce","IND","30","19","40","31"
"DK Metcalf","PIT","31","24","29","40"
"Marvin Harrison Jr.","ARI","32","36","25","33"
"Ladd McConkey","LAC","33","31","26","41"
"Jordyn Tyson","NO","34","50","35","28"
"DJ Moore","BUF","35","37","33","45"
"Romeo Doubs","NE","36","39","39","38"
"Quentin Johnston","LAC","37","30","49","37"
"Courtland Sutton","DEN","38","43","37","36"
"Jordan Addison","MIN","39","41","41","35"
"Ricky Pearsall","SF","40","46","38","34"
"Jakobi Meyers","JAX","41","38","50","32"
"Michael Wilson","ARI","42","34","57","30"
"Michael Pittman Jr.","PIT","43","40","36","46"
"Parker Washington","JAX","44","32","47","47"
"Wan'Dale Robinson","TEN","45","33","44","49"
"Josh Downs","IND","46","48","34","48"
"Jayden Reed","GB","47","53","42","43"
"Chris Godwin Jr.","TB","48","52","48","42"
"Xavier Worthy","KC","49","47","45","50"
"Khalil Shakir","BUF","50","44","53","53"
"Rashid Shaheed","SEA","51","56","43","51"
"Matthew Golden","GB","52","49","56","55"
"KC Concepcion","CLE","53","54","52","59"
"Kayshon Boutte","NE","54","45","63","61"
"Omar Cooper Jr.","NYJ","55","60","54","56"
"Jalen Coker","CAR","56","57","65","52"
"Tre Tucker","LV","57","63","68","44"
"Makai Lemon","PHI","58","51","51","76"
"Jerry Jeudy","CLE","59","78","46","58"
"Jayden Higgins","HOU","60","61","59","63"
"Calvin Ridley","TEN","61","74","64","64"
"Malik Washington","MIA","62","62","71","72"
"Ted Hurst","TB","63","83","55","70"
"Cooper Kupp","SEA","64","76","60","75"
"Tank Dell","HOU","65","75","86","54"
"Keon Coleman","BUF","66","82","69","66"
"Germie Bernard","PIT","67","80","70","67"
"DeMario Douglas","NE","68","70","74","77"
"Ryan Flournoy","DAL","69","79","82","62"
"Jalen Nailor","LV","70","58","94","74"
"Christian Kirk","SF","71","85","72","69"
"Adonai Mitchell","NYJ","72","72","62","103"
"Isaac TeSlaa","DET","73","71","85","82"
"Jalen McMillan","TB","74","87","83","71"
"Darnell Mooney","NYG","75","66","61","115"
"Tre' Harris","LAC","76","65","76","101"
"Troy Franklin","DEN","77","59","87","98"
"Travis Hunter","JAX","78","86","78","81"
"Jack Bech","LV","79","96","66","87"
"Denzel Boston","CLE","80","64","105","80"
"Darius Slayton","NYG","81","88","88","73"
"Tory Horton","SEA","82","69","90","90"
"Jauan Jennings","MIN","83","55","67","133"
"Chris Bell","MIA","84","77","79","99"
"Jalen Tolbert","MIA","85","100","97","60"
"Tyquan Thornton","KC","86","92","81","84"
"Mack Hollins","NE","87","90","93","78"
"Treylon Burks","WAS","88","97","92","79"
"Rashod Bateman","BAL","89","101","75","92"
"Pat Bryant","DEN","90","73","128","68"
"Elic Ayomanor","TEN","91","68","98","104"
"Antonio Williams","WAS","92","81","58","132"
"Devaughn Vele","NO","93","114","96","65"
"Andrei Iosivas","CIN","94","116","73","86"
"Kyle Williams","NE","95","99","77","107"
"Chimere Dike","TEN","96","67","109","109"
"Tutu Atwell","MIA","97","121","111","57"
"Jahan Dotson","ATL","98","124","80","89"
"Xavier Legette","CAR","99","84","100","110"
"Zachariah Branch","ATL","100","122","84","93"
"Marvin Mims Jr.","DEN","101","98","106","97"
"Dontayvion Wicks","PHI","102","95","91","119"
"Jaylin Noel","HOU","103","104","89","113"
"Malachi Fields","NYG","104","93","123","91"
"Ja'Kobi Lane","BAL","105","117","108","83"
"Xavier Hutchinson","HOU","106","91","115","106"
"Kalif Raymond","CHI","107","112","113","88"
"Elijah Sarratt","BAL","108","120","99","96"
"Roman Wilson","PIT","109","106","110","100"
"Chris Brazzell II","CAR","110","127","95","95"
"Nick Westbrook-Ikhine","IND","111","134","102","85"
"Tez Johnson","TB","112","89","116","118"
"Jordan Whittington","LAR","113","119","112","94"
"Cedric Tillman","CLE","114","108","103","116"
"Dont'e Thornton Jr.","LV","115","109","107","111"
"Kendrick Bourne","ARI","116","103","104","124"
"Brenen Thompson","LAC","117","102","127","102"
"Jaylin Lane","WAS","118","105","120","108"
"Olamide Zaccheaus","ATL","119","94","133","120"
"De'Zhaun Stribling","SF","120","115","101","134"
"Devontez Walker","BAL","121","123","114","114"
"Calvin Austin III","NYG","122","111","119","122"
"Greg Dortch","DET","123","118","118","123"
"Van Jefferson","WAS","124","107","134","121"
"Ashton Dulin","IND","125","132","125","105"
"Marquise Brown","PHI","126","110","135","125"
"Demarcus Robinson","SF","127","125","136","112"
"Isaiah Bond","CLE","128","128","121","127"
"Jonathan Mingo","DAL","129","130","117","129"
"Xavier Weaver","ARI","130","136","126","117"
"Bryce Lance","NO","131","113","132","138"
"Marquez Valdes-Scantling","DAL","132","126","129","128"
"Zavion Thomas","CHI","133","129","124","136"
"Skyler Bell","BUF","134","133","122","135"
"Arian Smith","NYJ","135","131","137","130"
"Lil'Jordan Humphrey","DEN","136","135","138","126"
"Devin Duvernay","ARI","137","137","131","131"
"Kendrick Law","DET","138","138","130","137"
