"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Brock Bowers","TE","LV","8","1","209.6","2.9","5.9","3.05","1","Who has two thumbs and might be the only legitimate pass-catching option on his team in 2026? This guy! Bowers followed up his incredible TE1 rookie season in 2024 with a TE8 finish in 2025, which, honestly, feels almost just as successful given the state of the QB and organization in Vegas. His targets per game dropped from 9.0 to 7.1, but he broke through with seven TDs in only 12 games played. Add in some competent QB play, either in the form of Kirk Cousins or Fernando Mendoza, and Bowers could rival Trey McBride’s 169 targets of last year. There is so little target competition in Las Vegas that he could break fantasy in 2026.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trey McBride","TE","ARI","8","2","207.8","4.2","8.3","2.09","1","If you were able to behold the TE season to end all TE seasons, you are probably still singing the praises of TMcB. With Jacoby Brissett at the helm, Trey McBride was unlocked, running 696(!) routes while breaking the single-season TE reception record with 126. He took advantage of various injuries among other Cardinals pass catchers to finish the year with 11 receiving TDs, a massive jump from the two he scored the year previous. We know that the TD total stands quite a chance to regress on a Cardinals team projected to win the fewest games in the NFL. Be that as it may, expect another year of massive volume, giving fantasy managers a positional advantage.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Warren","TE","IND","11","3","177.9","3.4","8.8","5.09","2","The beginning of the year was an utter delight for Warren as he produced just one fantasy finish outside the top-12 in the first seven weeks, thanks to the resurgence of Daniel Jones. He struggled near the end of the year, along with the rest of the Colts’ offense, but still posted 817 yards receiving and a TE7 finish on the year. The four receiving TDs felt on the lower side, but this could go up with the loss of Michael Pittman Jr. in 2026. Warren was the TE3 when it came to route participation at 83%, and we don’t see that going down any time soon. He is in that second tier of TEs in redraft that can be fantasy difference-makers even with the uncertain recovery timeline of Jones.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Colston Loveland","TE","CHI","5","4","173.1","4.2","9.2","5.02","2","Oh, Mr. Loveland. Slow clap for the managers that pounced on Loveland quickly when they saw the promise of a breakout. His Week 17 performance against San Francisco was one that fantasy championships were made of. We were nervous with the myriad of weapons in Chicago and how Ben Johnson’s offense would come together, but Loveland was the clear first read in the offense into the NFL playoffs. DJ Moore has left town, and Johnson proved that what he did in Detroit was not a fluke, so ranking Loveland in the top four seems 100% valid. We cannot wait to see the jump Loveland can make this season.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Harold Fannin Jr.","TE","CLE","9","5","152.1","4.1","8.6","6.07","3","We were uncertain about how it would all play out in the TE room with David Njoku still the de facto TE1, but Fannin came out of the gate hard in 2025. He was the bright spot in Cleveland last season, leading the team in targets (107), receptions (72), receiving yards (731), and receiving TDs (six) all as a rookie with a carousel of QBs throwing him the ball. The offense in Cleveland was abhorrent, but Fannin still managed to join Sam LaPorta as one of two rookie TEs since 2000 with 70/700/6. He now has to compete with rookies KC Concepcion and Denzel Boston for targets, but the offense on the whole looks to have much more potential with Todd Monken driving the bus. He finished as the TE5 in 2025, and he should go around that in redraft, especially with the departure of Njoku.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Sam LaPorta","TE","DET","8","6","142.6","4.4","6.2","8.03","3","LaPorta tried real hard to put together a season reminiscent of his astounding rookie year starting out fairly well with four top-6 finishes before being sidelined with a season-ending back injury. His 12.2 yards per reception were a career high, and his 81% catch percentage is delightful. But what happens now? New OC Drew Petzing catapulted an all-time season from Trey McBride in Arizona so we are left wondering if LaPorta will get the TMcB treatment this season. The Lions have one of the easiest schedules in the NFL making LaPorta’s later round ADP palatable as we still consider his ceiling and TD upside enticing.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tucker Kraft","TE","GB","5","7","136.3","3.9","5.2","7.03","3","Kraft was on his way to a monster season in 2025, boasting two TE1 weeks and averaging close to six targets a game, until he tore his ACL in Week 9 against Carolina. He was Green Bay’s leading receiver with 32 catches for 489 yards and six TDs on 44 targets up until that point. Despite his major injury, you will still have to pay up to draft Kraft, making him a dicey draft decision. The talent is there, and the targets could be even easier to come by, but also factor in that Kraft might not be ready to go by Week 1.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyle Pitts Sr.","TE","ATL","5","8","135.9","4.2","5.3","7.04","3","Ah, yes, the TE2 last season! As you may remember, Pitts had an incredible final third of the season with four weeks inside the top-10, including his 40-point(!) Week 15 blowout game against Tampa Bay. We are not expecting this from Pitts heading into 2026, so make sure to let your league mates reach for him come draft day. Rankings-wise, he is living in that TE6-TE10 range where players can become almost interchangeable. Aside from Bijan Robinson and Drake London, the Falcons do not have much target competition, so a world exists where he could bolster his consistency and build on his 2025 season. The QB situation and a new offensive play-caller bring more risk and uncertainty than we would like.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Travis Kelce","TE","KC","10","9","128.8","4.8","4.5","10.05","4","Quietly the TE4 in 2025, Kelce finished as the TE8 or better every year as a starter, reminding us he is a true fantasy football legend. Louder for the people in the back! He had a solid 851 yards receiving (TE4) with 584 routes run (TE2), and you can continue to expect to see him on the field as Patrick Mahomes’ good ole security blanket. We would like to see that TD total go up a bit - Kelce had five last year - but to be fair, no one on the team caught more than that number. He is a solid later-round pick if you wait on the TE position, knowing this is his latest ADP in more than a decade. Respect your elders.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Hunter Henry","TE","NE","14","10","126.6","3.3","5.8","9.04","4","Henry was quietly the TE6 on a team where he was second in targets with 87, just behind Stefon Diggs with 102. The problem with Henry was that you never seemed to know when to start him, as he surpassed eight fantasy points per game in less than half of his games (47%). Even with the release of Diggs, Henry’s uncertainty might not improve much with the presumed addition of AJ Brown to the team and the actual addition of Romeo Doubs. However, Henry seems to consistently be undervalued in drafts, making him an easy trigger to pull at the end or a pickup off waivers as your second TE on a deep roster.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
