"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Puka Nacua","WR","LAR","8","1","282.9","3.6","9.6","1.07","1","Puka was dominant in 2025 with a league-leading 107 receiving yards per game and six weeks of 20+ fantasy points, the most among WRs. He was an absolute dominator on 50/50 balls, tracking down 27 contested catches, the most of any WR over the last decade. Aside from off-the-field issues, he is simply unstoppable and off-the-charts in every per-route metric we care about for fantasy. If you wanted to take Puka at the 1.01 in a full PPR league, we totally understand.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ja'Marr Chase","WR","CIN","10","2","278.4","3.2","9.7","1.06","1","Let us hit you with some hard-hitting analysis. Ja’Marr Chase is good at the game! Even with Joe Burrow missing a huge chunk of the season, the dude still finished as the WR4 with over 15 fantasy points per game. Finishing as the WR1 overall is obviously in play, especially if Burrow can finally stay healthy and have one of those elite TD seasons. He is well worth the pick early in Round 1 of fantasy drafts.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaxon Smith-Njigba","WR","SEA","8","3","264.8","3.0","9.4","1.08","1","If you grabbed JSN in the third round last year, you likely won your league as Smith-Njigba was incredible all year long, leading the league in receiving with almost 1,800 yards and 10 scores. His efficiency could regress after he averaged a silly 3.74 yards per route run, but he is still an easy click in the first round of fantasy drafts as one of the few guys in the league who can command a 30+% target share.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Amon-Ra St. Brown","WR","DET","8","4","244.0","1.0","9.5","2.02","2","St. Brown is the pinnacle of consistency. He has now finished as a top-8 fantasy WR in four straight seasons, and he has banked the WR3 overall finish in three straight years as Jared Goff’s high-volume WR1. There aren’t many WRs we would want over him in redraft leagues this season, making him a rock-solid pick in Round 1 of drafts.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"CeeDee Lamb","WR","DAL","10","5","240.5","2.6","9.3","2.01","2","Lamb had a good season in 2025, but it didn’t feel great considering you likely had to take him in the first round last year. He missed a few games because of the high ankle sprain, and he only scored three TDs. In the game we play, that is just not going to get it done. However, he is coming off a career high 14.4 yards per reception and has now finished with 1,000+ yards in five straight seasons. If that TD variance swings back in his direction, CeeDee can absolutely finish as a top-5 WR in 2026.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Justin Jefferson","WR","MIN","6","6","223.3","4.1","9.5","2.04","3","JJetts disappointed fantasy managers who grabbed him early in drafts last season, but was it really his fault? I mean, I think we all know who to blame here…“Nine” was one of the worst starting QBs in football, and you may forget, but Carson Wentz (yes, that guy) started five games while Max Brosmer attempted to play football in the NFL. Spoiler: It did not go well. Basically, we are completely ignoring Jefferson’s 2025 season. He is still one of the best in the game, and while Kyler is not a top-five QB, he is certainly an upgrade on whatever the heck the Vikings were doing in 2025. He is one of fantasy’s most obvious bounce-back players for 2026 and is well worth a look in Round 1 of drafts.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Drake London","WR","ATL","5","7","217.0","3.8","9.1","2.05","3","Can we get this man a QB? We know London is one of the most talented WRs in the league, yet it feels like there is still so much untapped potential given what has been going on in Atlanta. Even though Tua and Penix have their warts, we are closing our eyes in drafts and betting on talent with Drake, who has been targeted on 30% of his routes over the last two seasons. In case you missed it, the Falcons are trotting out some combination of the three stooges behind London: Jahan Dotson, Zachariah Branch, and Olamide Zacchaeus. Let’s get this guy 10+ targets a game and see what happens!","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Nico Collins","WR","HOU","6","8","209.4","4.6","8.9","2.12","4","Even with C.J. Stroud disappointing more often than not from a real-life NFL perspective, Collins continues to post WR1 numbers on a per-game basis. He is just that dude in this offense, and with Tank Dell recovering from a major injury and last year’s rookies, Jayden Higgins and Jaylin Noel, unproven commodities, Collins’ elite target share remains locked in. He is on the short list of players who are capable of finishing as a top-five fantasy WR in 2026.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Olave","WR","NO","11","9","208.5","5.7","8.8","3.04","4","Olave was buried in ADP a year ago due to concerns about the Saints' QB room and his concussion history. Fantasy drafters who took the plunge on Olave in the middle rounds last season were rewarded in a big way as Olave banked career highs in targets (156), receptions (100), yards (1,163), and TDs (9) en route to a WR6 finish. Shough for the win! After Spencer Rattler was benched, Olave went on a tear, averaging 15.8 points per game with Tyler Shough under center. The target competition will be more difficult with the addition of Jordyn Tyson, but Olave is one of the most talented WRs in the league, and we love Kellen Moore’s up-tempo scheme. We would not be shocked to see Olave post back-to-back WR1 seasons.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Pickens","WR","DAL","10","10","208.3","5.0","8.9","3.02","4","George! Jason’s My Guy came through in a huge way in his first season in Dallas. His stats are a bit juiced for those games without CeeDee Lamb, but the point remains - Pickens is a super talented WR who plays in a scheme we like with a QB in Dak who can support elite fantasy seasons. The only thing to consider for fantasy is that the ADP for him is higher than it was a season ago, so we are not getting any discounts here like we were a year ago when Pickens was available in the middle rounds.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tetairoa McMillan","WR","CAR","14","11","204.0","4.0","8.2","4.01","4","McMillan delivered on the promise of being a top-10 NFL Draft pick a year ago, finishing with just over 1,000 yards and seven scores. The draft capital, Year 1 production, and efficiency marks suggest McMillan is poised for another step forward in his sophomore campaign. After seeing 25.4% of the target share a year ago as a rookie, T Mac is on our short list of WRs who could push for upwards of a 30% market share. With his talent, that should mean great things for fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"A.J. Brown","WR","PHI","9","12","203.2","6.3","8.0","3.09","4","As of now, AJ Brown is still an Eagle. Tomorrow? He could be a Patriot or playing elsewhere as a post-June 1 trade candidate. Obviously, without knowing where he will be playing in 2026, it is tough to provide some in-depth analysis on his situation. As for the player himself, last year probably felt frustrating as Philly’s offense sputtered, but Brown showed he is still one of the better WRs in the league. Even in a “down” year, Brown still finished as fantasy’s WR10 and finished with 2+ yards per route run for his seventh consecutive season. Perhaps a change of scenery could unlock Brown for another WR1 finish. For now, we wait for the news to drop…","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Garrett Wilson","WR","NYJ","9","13","199.2","4.9","8.1","4.05","5","All this dude does is earn targets at an elite level. Since 2023, G Willy’s targets per route run rates are 25%, 25%, and 26%. Simply put, he is one of the best in the game at commanding a high target share. Unfortunately, that hasn't always translated into elite fantasy seasons, but we attribute that to lackluster QB play compared to other NFL WR1s. *Geno Smith has entered the chat.* Sadly, it could be the exact same scenario for Wilson in 2026. The talent is there, and the targets will be there, but the offensive environment could hold him back for fantasy once again. Nevertheless, he is a rock-solid WR2 for your team and gets a boost in full PPR formats.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Emeka Egbuka","WR","TB","9","14","198.5","5.5","8.1","5.08","5","Respectfully, Gronk. What the heck, dude?! Before Gronk called his man Ee-Meek-Ah Eg-Big-Boo, Egbuka was on fire, operating as the WR1 in Tampa en route to a true rookie year breakout. After Gronk’s snafu on live TV, Egbuka fell off the map, averaging just 3.2 catches and 41.1 yards per game from Week 6 on. If you zoom out, however, there are a lot of reasons for that - Egbuka played through a minor hammy injury, Baker got banged up, the O-line was injured, and Emeka’s catchable target rate was terrible. If drafts present an opportunity to buy back in on the former first-round pick, we are ready to pounce, especially with Mike Evans now in San Francisco and Chris Godwin another year older.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tee Higgins","WR","CIN","10","15","195.3","6.1","8.3","4.01","5","Blurb- “Meat Higgins,” as he is known around Fantasy Footballers HQ, has now finished as a top-24 fantasy WR in four of the last five years as the Robin to Ja’Marr Chase’s Batman. As long as Joe Burrow stays healthy, we expect both guys to eat this year, with Higgins the more volatile option of the two Cincy WRs. We are fine with Higgins as a pick where he goes as a WR2 for your squad, but he has always got that sneaky WR1 upside if Chase happens to miss time.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rashee Rice","WR","KC","10","16","194.5","9.5","8.3","3.09","5","Welp! Another offseason discussing Rashee Rice and his off-the-field issues. Rice missed the first six weeks of the 2025 season while serving a suspension, and this past offseason, he violated his probation when he tested positive for marijuana. As a result, he is serving jail time in June and July. On top of that, we also got news in late May that Rice underwent a “clean up” procedure in his knee that could sideline him for roughly two months. If you recall, Rice’s 2024 season came to an end after he suffered a season-ending LCL, hamstring and posterolateral corner injury. So, to recap, we have another legal issue and a health concern. It all adds up to make Rice a highly volatile player entering training camp, assuming he is cleared. When on the field, he produces like a WR1 for fantasy, but there are obviously concerns. We will be tracking his situation closely over the next few months.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DeVonta Smith","WR","PHI","9","17","190.7","3.4","7.6","5.08","5","Smitty has always been a great talent at the WR position, but his fantasy value has been held in check with AJ Brown on the roster. If that changes after June 1, expect Smith to be one of the hottest names in fantasy. If that scenario does play out with Brown playing elsewhere, Smith will have a chance to set career highs in targets, receptions, and yards as the Eagles’ new WR1. His ADP will probably skyrocket, but the excitement is warranted for a guy who’s averaged 14.5 PPR points per game without Brown in the lineup going back to 2022.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jameson Williams","WR","DET","8","18","190.5","5.3","7.7","5.04","5","You know what is fun? Jamo ripping off chunk gains thanks to some of that elite speed. Dan Campbell knows this. John Morton? Not so much. Before Guns Mahoney took over play calling, Jameson Williams’ role was frustrating for fantasy as he was used as a low-volume, high aDOT boom/bust type of guy. However, after Campbell took over the offense, Jameson Williams was one of fantasy’s most valuable WRs as he was on pace for 1,400 yards after the Week 8 bye. It is important to note that Sam LaPorta was also out for a big chunk of the season. Still, the point remains: Jamo is crucial to the Lions’ offense reaching its full potential, and he should continue to have a high upside role that is worth targeting in fantasy drafts.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian Watson","WR","GB","5","19","190.1","4.9","5.8","6.08","5","Watson’s bug-a-boo since he entered the NFL has been injuries. When he is on the field, he is highly efficient and scores plenty of fantasy points. That was on full display last season when he returned to the lineup in Week 8 off a torn ACL and went on to average 2.67 yards per route run and 11.5 fantasy points per game. There is a shaky floor with a guy like Watson due to durability concerns, but if you are looking for a high upside WR pick in the middle rounds, Watson is your guy. The Packers’ depth chart is thinned out entering 2026, and Matthew Golden really struggled as a rookie, giving Watson relatively weak target competition for one of the better offenses in the league.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zay Flowers","WR","BAL","7","20","189.5","4.3","7.5","5.02","5","Flowers is coming off a highly efficient 2025 campaign, setting a career high in targets (118), receptions (86), and yards (1,211). Over the last two seasons, Zay has averaged 2.61 and 2.35 yards per route run. Those are some elite marks. The guy is good! Unfortunately, the one bug-a-boo for Zay in fantasy land has been TDs. Through three seasons, he has topped out at just five scores. In order to make the leap into being a real difference maker, he is going to need to find the painted box more often. Perhaps he can fall into an outlier TD year, but with Lamar stealing some attempts in the red zone and King Henry still here, that seems somewhat unlikely for 2026.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Nabers","WR","NYG","14","21","187.0","7.0","9.0","2.10","5","When on the field and healthy, there aren’t many better than Malik Nabers. Unfortunately, the talk all offseason about Nabers is going to be injury, specifically his recovery from ACL and meniscus surgery. It is one of fantasy football’s biggest storylines to monitor throughout the summer. We are projecting him to be limited early in the season, so just understand that Nabers will come with risk in redraft leagues, and it is not out of the question that he could start the season on the PUP list. If and when he does get back to 100%, he is likely to provide a big impact to your team, but you might need to wait longer than you would prefer.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Terry McLaurin","WR","WAS","12","22","184.3","4.4","6.8","5.08","6","After being one of the most valuable WRs in fantasy in 2024, Scary Terry’s 2025 was a year to forget. Not only did McLaurin deal with injury throughout the season, but the Commanders also lost Jayden Daniels for a significant chunk of the year. To no one’s surprise, the Commanders’ offense was stuck in the mud in what was essentially a lost season. Now, looking forward to 2026, McLaurin has a chance to bounce back in a big way. The depth chart here behind McLaurin is barren, so it wouldn’t be surprising at all to see Terry push for a healthy target share and 8-10 TDs if things break right.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylen Waddle","WR","DEN","12","23","180.3","4.0","5.0","4.10","6","For the first time in his career, Jaylen Waddle is going to be wearing a different uniform as he is now in Denver after being traded before the NFL Draft. The situation is clearly much better for scoring, playing with Sean Payton and Bo Nix versus Bobby Slowik and Malik Willis. The talent remains with Waddle, so there is upside here, but be mindful that Payton historically loves to use multiple WRs, RBs, and TEs to spread things out. We would love to say Waddle will dominate targets, but the more likely scenario is that Waddle will have to have a highly efficient season to be a difference maker for fantasy.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rome Odunze","WR","CHI","5","24","179.9","3.5","7.3","7.01","6","Last season was a rollercoaster for Rome Odunze. It feels like forever ago, but remember when Rome was THE WR1 in the first month of the season? The guy was on fire to open the year, but after the team’s bye, he regressed and then got injured, missing Weeks 14-18 with a foot injury. Now entering 2026, there is perhaps a buying window in fantasy as the market is hot and heavy for Luther Burden and Colston Loveland. This is still a former top-10 draft pick, and he is guaranteed to play in 2WR sets for one of the best play-callers in the league. Burden and Loveland feel like the more exciting fantasy picks in Chicago, but Rome outscoring both of those guys is in the range of outcomes.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mike Evans","WR","SF","9","25","179.5","6.0","7.5","6.02","6","For the first time in his career, Mike Evans won’t be wearing a Bucs uniform. Weird! He is now in San Francisco as he chases another ring with the Niners. Historically speaking, there is an increased risk with veterans changing teams at this stage of their career. It was a tough 2025 season for the elder statesman, who missed a ton of time with hamstring and collarbone injuries. He will be 33 this season, so be mindful of his ADP throughout the summer. If he gets steamed up, we are hesitant to chase him up the board, but if he falls, there is double-digit TD upside with Brock Purdy and Kyle Shanahan, especially with George Kittle coming off a torn Achilles.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Davante Adams","WR","LAR","8","26","179.3","5.2","7.8","4.11","6","Adams is coming off arguably the best season ever for a WR inside-the-five as he became the team’s “goal-line WR”. He saw the most targets (16) inside the 5-yard line since targets became a stat (1992). Nevertheless, the warning signs are there as he totaled just 789 receiving yards and now enters his age-33 season. When we couple that with Matthew Stafford’s outlier TD season, it is hard to be bullish on Adams repeating as a WR1 for fantasy. We view him more as a WR3, as his price tag in drafts is a bit too rich for us.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ladd McConkey","WR","LAC","12","27","177.2","3.1","5.5","4.12","7","We love us some Ladd, but his sophomore season was a relative disappointment, regressing in every major statistical category compared to his WR11 finish as a rookie. He particularly struggled versus zone coverage (1.31 YPRR) as a predominantly slot WR (65% of routes) while ceding meaningful targets to old man Keenan Allen. It remains to be seen if he will be consistently on the field in 2WR sets as new OC Mike McDaniel historically adds a fullback on the field to mess with WR usage. We have Ladd ranked as a solid WR3/FLEX for fantasy and the target leader for the Chargers. However, with a ton of mouths to feed, it will be hard to return to the glory of his rookie season based on receiving efficiency alone.","Unlock with the 2026 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
