"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Jonathan Taylor","RB","IND","17","14.6","5.8","7.7","18.9","30.4","28.3","16.5","19.7","33","21.6","51.9","17.7","24.3","BYE","23","10.8","17.9","11","20.8","353.1"
"2","Austin Ekeler","RB","FA","16","11.7","18","19.7","28","30.4","7.5","-","21.4","9.7","13.4","38.5","18.9","14.9","15.4","16.2","-","18.7","26.4","19.3","308.8"
"3","Joe Mixon","RB","FA","16","23","7.6","9.9","13.2","10","23.8","11.9","23.1","25.5","-","24.3","30.3","9.4","7.8","6.5","28.5","12.1","-","16.7","266.9"
"4","Najee Harris","RB","LAC","17","5.4","16.6","21.2","18.1","21.2","21.7","BYE","19.5","15.3","15.3","14.4","5.2","13.2","23.9","3.6","13.5","28.1","7.5","15.5","263.7"
"5","James Conner","RB","ARI","15","5.3","2.6","17.8","19.6","10.2","7.6","12.4","14.2","37.8","13.9","18.4","BYE","18.1","29","8","-","-","24.3","15.9","239.2"
"6","Ezekiel Elliott","RB","FA","17","4.9","16.7","25.1","20.3","24.2","15.4","-","9.3","11.1","19.3","9.8","13.9","5.7","8.5","14.7","16.7","3.5","9.5","13.4","228.6"
"7","Leonard Fournette","RB","FA","14","8.4","9.6","4.9","15.4","19","27.7","16","5.8","-","13.2","10.4","40.6","18.7","21.2","10.2","-","-","-","15.8","221.1"
"8","Alvin Kamara","RB","NO","13","16.6","5","19.3","12","26.7","BYE","28.9","15.1","18.4","-","-","-","-","22.5","4.1","6.9","18.5","17.2","16.2","211.2"
"9","Cordarrelle Patterson","RB","FA","16","7.7","21.4","13.2","32.1","14.9","-","13.1","15.7","16.6","4.4","-","26.5","11.1","12.9","3.3","7.8","6.2","1.7","13","208.6"
"10","Antonio Gibson","RB","FA","16","10.3","8.3","16.9","14.5","20.2","3.4","6.6","6.9","-","20.8","7.5","20.1","19.6","3.1","15.5","12.8","-","21.6","13","208.1"
"11","Nick Chubb","RB","FA","14","21.1","16.3","8.4","11","23.5","-","-","7.4","29.3","-","21.4","4.9","-","8","15.8","25.9","5.8","6.5","14.7","205.3"
"12","Aaron Jones Sr.","RB","MIN","15","3.2","38.5","16.6","9.4","12.9","19","6.4","20.5","5.3","10.6","-","2.3","-","20","14","11.2","13.1","-","13.5","203"
"13","Damien Harris","RB","FA","15","10.7","12.9","2.1","3.6","9.8","17.3","24.3","14","9.8","-","7","11.7","17.1","-","-","28.3","17.2","15.3","13.4","201.1"
