"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Mark Andrews","TE","BAL","17","3.5","8.2","13.4","9.2","36.2","15.3","6.3","BYE","6.9","15.3","11.3","14.5","7","23","30.6","22.5","11.9","12.5","14.6","247.6"
"2","Travis Kelce","TE","KC","16","22.6","20.4","13.9","4.3","14.7","13.9","10","2.7","15.3","15.9","16.3","BYE","4.2","4.2","36.1","-","10.9","11.4","13.6","216.8"
"3","Dalton Schultz","TE","HOU","17","7.5","2.8","23","14.8","10.9","10.4","-","2.1","7.4","1.9","8.3","14.1","6.8","0.9","16.7","18.2","8.4","15.6","10","169.8"
"4","George Kittle","TE","SF","14","9.8","3.7","13.6","6","-","BYE","-","-","17.1","13.5","11.4","1.8","35.1","27.6","12.3","3.1","4","3.5","11.6","162.5"
"5","Zach Ertz","TE","FA","17","4.4","1.1","13.3","9","1.2","10.9","14.5","6.2","4.2","6.6","24.8","-","1.5","6.7","10.4","9.4","7.6","11.9","8.5","143.7"
"5","Rob Gronkowski","TE","FA","12","25","17.9","7.5","-","-","-","-","0","-","-","10.1","15.8","19.8","8.7","3.9","2.8","15","17.2","12","143.7"
"7","Kyle Pitts Sr.","TE","ATL","17","5.1","9.8","4.5","7","22.4","BYE","19.8","2.3","7.7","8","4.4","3.6","6.8","8.6","9.7","13.2","7.9","1.8","8.4","142.6"
"8","Dawson Knox","TE","BUF","15","6.1","8.7","12.9","18.2","19.2","6","BYE","-","-","2.2","11","16.7","2.4","15.5","5.8","8.1","0","6.8","9.3","139.6"
"9","Hunter Henry","TE","NE","16","4.6","5.2","6.1","11.2","16.5","9.5","9.3","3.8","8.9","17.7","3.5","2.6","-","BYE","22.7","1.4","5.2","11.1","8.7","139.3"
"10","Dallas Goedert","TE","PHI","15","12.2","3.4","7.6","14.1","3.8","-","10.5","10.2","5.8","3.8","8.7","0.5","25.5","BYE","17","3.8","10.1","-","9.1","137"
"11","Mike Gesicki","TE","CIN","17","0","5.6","13.6","14.2","6.3","15.5","18","8.3","7.4","0","7.5","3.2","8.1","-","6.8","3.7","7.1","3.2","7.6","128.5"
"12","Noah Fant","TE","NO","16","9.2","11.3","2.5","13.6","3.5","20.2","6.4","1.8","-","8.4","-","2.7","5.3","7.1","8.2","4.5","18.2","2.1","7.8","125"
"13","Pat Freiermuth","TE","PIT","16","2.9","5.6","9.7","1.6","1.7","9.3","BYE","12.4","18.8","3.6","9.1","12","6.1","10.2","5.7","-","4.7","8.3","7.6","121.7"
"14","Tyler Higbee","TE","LAR","15","9.3","1.3","12.5","5.6","8.4","6.1","7.1","4","7.6","9.5","BYE","0.8","7.3","-","-","6.6","9.9","20.5","7.8","116.5"
"15","T.J. Hockenson","TE","MIN","12","21.7","16.6","2","6.2","3.2","11.4","7.8","13.9","-","0","8.1","11","12.9","-","-","-","-","-","9.6","114.8"
"16","Jared Cook","TE","FA","16","8.1","4.3","3.7","16","3.4","10.5","-","3.5","8.8","1.5","4.3","9.5","4.4","7.8","4.7","7.9","-","10","6.8","108.4"
"17","Tyler Conklin","TE","DET","17","6.1","2.5","16.5","3.8","3.5","8.6","-","8.2","7","14.6","5","3.5","9.1","3","1.2","6.4","7.2","1.6","6.3","107.8"
"18","Darren Waller","TE","FA","11","21.5","9","7.9","13","6.5","8.4","-","-","12.7","4.4","15.1","4.3","-","-","-","-","-","3.2","9.6","106"
"19","C.J. Uzomah","TE","FA","16","4.5","1.4","0","24","2.6","9","22.6","5.3","4.4","-","1.9","2.4","3.5","7.6","3.3","6.1","5.2","-","6.5","103.8"
"20","Gerald Everett","TE","FA","15","9","0.8","7.9","-","-","5","3.8","0.7","-","10.3","5.2","12.2","-1.3","9.8","8","14.8","5.1","2.5","6.3","93.8"
"21","Cole Kmet","TE","CHI","17","6.7","0.5","1.6","1.1","3.2","6.9","6.8","3.9","11.7","BYE","1.7","10.5","5.6","3.2","10.1","6.9","4","6.8","5.4","91.2"
"22","David Njoku","TE","FA","15","9.1","2.8","-","2.7","24.4","1.1","2.8","5.4","8.3","1.6","3.1","11","-","-","4.4","0","10.8","2.1","6","89.6"
"23","Evan Engram","TE","DEN","15","-","-","1.1","4.9","7.5","3.9","7.4","9","11.3","-","2.2","5.2","8.1","1.3","5.3","9.7","1.7","0.9","5.3","79.5"
"24","Austin Hooper","TE","ATL","15","4.2","6.5","8.9","1.6","2","0.9","5.2","4.6","2.4","10.5","7.3","0","-","11.5","-","4.1","3.8","-","4.9","73.5"
"25","Foster Moreau","TE","HOU","15","-","10.4","1.3","-","0","1.6","15","-","0","0","8.4","0.8","3.9","2.8","10","8.7","1.4","6","4.7","70.3"
"26","Mo Alie-Cox","TE","IND","17","0","2.3","2.4","17.7","6.5","9.3","10","0","3.3","1.1","0","1.3","0.5","BYE","0","5.2","4.3","3.7","4","67.6"
"27","Jack Doyle","TE","FA","15","3.6","10.9","1.5","2.9","0.9","0","0","8.2","6.6","4.6","4.5","17.1","1.8","-","0.5","-","-","1.6","4.3","64.7"
"28","Cameron Brate","TE","FA","16","-","1.3","5.5","3.9","1.7","4.1","0","2.5","-","7.1","3.7","3.8","6.8","2.1","3.2","8.1","7.5","2.2","4","63.5"
"29","Albert Okwuegbunam Jr.","TE","LV","14","7.1","4.4","1.1","1.6","-","-","-","4.9","4.5","9.2","-","1.7","3.6","12.6","7.3","0","1.5","0","4.3","59.5"
"30","Dan Arnold","TE","FA","11","1.6","7","3.3","3.9","7.4","3.7","-","10.8","8","11.2","0","1.4","-","-","-","-","-","-","5.3","58.3"
